Intitulé;Impact pollution air;2009;2010;2011;2012;2013;2014;2015
Dégrèvement égal au quart des dépenses à raison des travaux d'économie d'énergie, sur la cotisation de taxe foncière sur les propriétés bâties pour les organismes HLM et les SEM;Indirect Aider le secteur immobilier public pour travaux d'économie d'énergie;3;23;66;77;70;70;100
Crédit d'impôt pour dépenses d'équipement de l'habitation principale en faveur des économies d'énergie [Crédit d'impôt développement durable (CIDD) puis Crédit d'impôt transition énergétique (CITE)];Indirect Soutenir la rénovation énergétique des logements, remplacement des appareils de chauffage au bois par des appareils labellisés (jusqu'en 2015);2 763;2 625;2 015;1 110;673;619;900
Eco-prêt à taux zéro (crédit d'impôt au titre d'une avance remboursable ne portant pas intérêt destinée aux travaux de rénovation afin d'améliorer la performance énergétique des logements anciens);"Indirect Diminuer la consommation énergétique des logements et les rendre moins émetteur de gaz à effet de serreDans l’option « bouquet de travaux », parmi les équipements éligibles à l’éco-PTZ, deux actions ciblent des équipements émetteurs de particules : l’installation ou le remplacement de chaudières bois et l’installation ou le remplacement de poêles, foyers fermés et insert de cheminée intérieurs.";0;30;70;90;107;120;110
Taux de 5,5% pour la fourniture par réseaux d'énergie d'origine renouvelable;Indirect Augmenter la part des énergies renouvelables dans la consommation;25;20;25;40;40;50;50
Taux réduit de TVA (5,5%) pour les travaux d'amélioration de la qualité énergétique des locaux d'habitation achevés depuis plus de deux ans ainsi que sur les travaux indissociablement liés (LFI 2014);Indirect Diminuer la consommation énergétique des logements Fait partie des 14 dépenses fiscales qui représentent plus de 50% du coût total des dépenses fiscales;-;-;-;-;-;730;1 120
Exonération plafonnée de taxe intérieure de consommation pour les esters méthyliques d’huiles végétales, les esters méthyliques d’huile animale ou usagées, les biogazoles de synthèse, les esters éthyliques d’huile végétale incorporés au gazole ou au fioul domestique, le contenu en alcool des dérivés de l’alcool éthylique et l’alcool éthylique d’origine agricole incorporé directement aux supercarburants ou au superéthanol E85;Direct Aider le secteur agricole à produire des agrocarburants;546;366;270;290;280;145;120
Exonération de taxes intérieures de consommation pendant 5 ans pour les huiles minérales et le gaz naturel consommés aux fins de cogénération;Indirect Favoriser les économies d'énergie;10;10;10;8;4;3;1
Exonération de taxe intérieure de consommation sur le charbon pour les entreprises de valorisation de la biomasse dont les achats de combustibles et d'électricité utilisés pour cette valorisation représentent au moins 3 % de leur chiffre d'affaires;Indirect Aider le secteur énergétique - biomasse;3;3;3;3;3;3;7
Exonération de taxe intérieure de consommation pour les produits énergétiques utilisés pour les besoins de l'extraction et de la production du gaz naturel;Indirect Aider le secteur énergétique gazier;2;2;3;3;-;-;-
Exonération de taxe intérieure de consommation sur le gaz naturel des ménages et des réseaux de chaleur;Indirect Éviter des distorsions de traitement entre les particuliers en habitat individuel, utilisateurs directs du gaz naturel, et les particuliers en habitat collectif alimentés par un réseau de chaleur;237;245;253;250;250;50;-
Exonération de taxe intérieure de consommation pour les produits énergétiques utilisés comme carburant ou combustible pour le transport de marchandises sur les voies navigables intérieures;Indirect Favorable au report modal Favoriser le secteur du transport fluvial;-;-;3;22;30;32;36
Taux réduit de taxe intérieure de consommation pour les butanes et propanes utilisés comme carburant sous condition d'emploi;Indirect Favoriser les économies d'énergie;6;6;6;108;104;105;105
Taux réduit de taxe intérieure de consommation applicable aux émulsions d'eau dans du gazole;Indirect Favoriser les économies d'énergie;0;4;4;2;2;?;?
Réduction de taxe intérieure de consommation sur le gaz naturel à l'état gazeux destiné à être utilisé comme carburant;Indirect Aider le développement du carburant gaz;9;4;4;68;46;125;126
Taux réduit de taxe intérieure de consommation sur le GPL;Indirect Aider le développement du gaz de pétrole liquéfié;41;47;50;110;103;91;77
Remboursement d'une fraction de taxe intérieure de consommation sur le gazole utilisé par les exploitants de transport public routier en commun de voyageurs;"Indirect Favorable aux ""transports en commun"" Aider les entreprises de transport public";26;30;40;36;32;39;60
Exonération de taxe intérieure sur la consommation finale d'électricité (TICFE) pour l'électricité utilisée pour le transport de personnes et de marchandises par train, métro, tramway et trolleybus;Indirect Favoriser le secteur du transport public;-;7;7;6;6;5;5
